	SRR1553725	SRR1553739	SRR1553740	SRR1553750	SRR1553756	SRR1553764	SRR1553773	SRR1553774	SRR1553779	SRR1553784	SRR1553788	SRR1553791	SRR1553792	SRR1553796	SRR1553797	SRR1553798	SRR1553804	SRR1553816	SRR1553820	SRR1553821	SRR1553826	SRR1553827	SRR1553840	SRR1553850	SRR1553851	SRR1553855	SRR1553856	SRR1553866	SRR1553867	SRR1553871	SRR1553882	SRR1553906	SRR1553907	SRR1554256	SRR1554259	SRR1556285	SRR1556286	SRR1556287	SRR1556288	SRR1556289	SRR1556290	SRR1556291	SRR1556292	SRR1556293	SRR1556294	SRR1556295	SRR1556296	SRR1556297
SRR1553725	0	11423	11425	11422	11425	11430	11425	11425	11430	8	11427	11425	11425	1	11426	11430	11426	11430	11425	11425	11425	11425	11431	6	11422	11431	11425	11422	11430	14	11428	11423	11430	11422	11428	11421	18	11	11423	11429	11422	11423	11417	11427	11427	11427	11431	11426
SRR1553739	11423	0	8	1	8	41	8	9	41	11408	10	8	8	11421	9	41	9	41	8	8	8	8	42	11426	1	42	8	1	41	11420	11	2	41	1	12	1	11399	11409	2	42	1	2	1	10	10	10	42	10
SRR1553740	11425	8	0	7	0	43	0	1	43	11410	2	0	0	11423	1	43	1	43	0	0	0	0	44	11428	7	44	0	7	43	11422	3	8	43	7	4	7	11401	11411	8	44	7	8	7	2	2	2	44	2
SRR1553750	11422	1	7	0	7	40	7	8	40	11407	9	7	7	11420	8	40	8	40	7	7	7	7	41	11425	0	41	7	0	40	11419	10	1	40	0	11	0	11398	11408	1	41	0	1	0	9	9	9	41	9
SRR1553756	11425	8	0	7	0	43	0	1	43	11410	2	0	0	11423	1	43	1	43	0	0	0	0	44	11428	7	44	0	7	43	11422	3	8	43	7	4	7	11401	11411	8	44	7	8	7	2	2	2	44	2
SRR1553764	11430	41	43	40	43	0	43	44	0	11417	45	43	43	11430	44	0	44	0	43	43	43	43	1	11432	40	1	43	40	0	11426	46	41	0	40	47	40	11406	11415	41	1	40	41	40	45	45	45	1	45
SRR1553773	11425	8	0	7	0	43	0	1	43	11410	2	0	0	11423	1	43	1	43	0	0	0	0	44	11428	7	44	0	7	43	11422	3	8	43	7	4	7	11401	11411	8	44	7	8	7	2	2	2	44	2
SRR1553774	11425	9	1	8	1	44	1	0	44	11410	1	1	1	11424	2	44	2	44	1	1	1	1	45	11428	8	45	1	8	44	11422	4	9	44	8	5	8	11401	11411	9	45	8	9	8	3	3	3	45	3
SRR1553779	11430	41	43	40	43	0	43	44	0	11417	45	43	43	11430	44	0	44	0	43	43	43	43	1	11432	40	1	43	40	0	11426	46	41	0	40	47	40	11406	11415	41	1	40	41	40	45	45	45	1	45
SRR1553784	8	11408	11410	11407	11410	11417	11410	11410	11417	0	11412	11410	11410	7	11411	11417	11411	11417	11410	11410	11410	11410	11418	14	11407	11418	11410	11407	11417	11	11413	11408	11417	11407	11413	11406	14	2	11408	11416	11407	11408	11402	11412	11412	11412	11418	11411
